origin_country,total_flights,avg_speed
United States,553258,155.21396402763125
United Kingdom,61667,160.10414727487984
Germany,56021,164.27820281680079
Turkey,54204,201.93058003099407
India,53674,175.99811081715532
Canada,42036,142.06769959082726
Ireland,41433,178.9010185118145
France,38052,170.49573215599696
China,34269,185.5543707140562
Spain,29498,160.32366906230942
